model,k-shot,target,scope_id,kw_context,vl_propform,acc_mean,prec_mean,rec_mean,f1_mean,var_by_acc,var_by_f1
LLaMA,10,A0,2,0,0,0.73,0.752,0.73,0.714,0.0096,0.01473
LLaMA,10,A0,1,0,0,0.62,0.645,0.62,0.587,0.0046,0.010011
LLaMA,10,A1,2,0,0,0.63,0.659,0.63,0.602,0.0096,0.013931
LLaMA,10,A1,4,0,0,0.63,0.68,0.63,0.6,0.0046,0.01092
LLaMA,10,A1,1,0,0,0.57,0.617,0.57,0.52,0.0046,0.010633
LLaMA,10,A1,3,0,0,0.57,0.59,0.57,0.541,0.0026,0.004957
LLaMA,10,A2,4,0,0,0.62,0.695,0.62,0.587,0.0006,0.002989
LLaMA,10,A2,3,0,0,0.61,0.629,0.61,0.578,0.0074,0.012741
LLaMA,10,A2,1,0,0,0.57,0.631,0.57,0.526,0.0006,0.003283
LLaMA,10,A2,2,0,0,0.52,0.447,0.52,0.463,0.0066,0.018553
LLaMA,10,A_dériv_ajout_de_sens,2,0,0,0.59,0.622,0.59,0.556,0.0034,0.005883
LLaMA,10,A_dériv_ajout_de_sens,1,0,0,0.32,0.255,0.32,0.277,0.0076,0.004548
LLaMA,10,A_dériv_qualificative,3,0,0,0.81,0.854,0.81,0.798,0.0094,0.012921
LLaMA,10,A_dériv_qualificative,1,0,0,0.65,0.698,0.65,0.629,0.002,0.002417
LLaMA,10,A_dériv_qualificative,2,0,0,0.49,0.462,0.49,0.431,0.0054,0.011314
LLaMA,10,A_i,3,0,0,0.67,0.737,0.67,0.644,0.0036,0.006401
LLaMA,10,A_i,1,0,0,0.51,0.511,0.51,0.478,0.0004,0.002138
LLaMA,10,A_i,2,0,0,0.49,0.48,0.49,0.447,0.0004,0.002421
LLaMA,10,Able1,3,0,0,0.66,0.706,0.66,0.638,0.0034,0.005249
LLaMA,10,Able1,2,0,0,0.62,0.681,0.62,0.584,0.0036,0.008804
LLaMA,10,Able1,4,0,0,0.59,0.641,0.59,0.554,0.0034,0.005436
LLaMA,10,Able1,5,0,0,0.54,0.545,0.54,0.502,0.0014,0.004534
LLaMA,10,Able1,1,0,0,0.47,0.427,0.47,0.413,0.0016,0.003945
LLaMA,10,Able2,2,0,0,0.82,0.864,0.82,0.812,0.0036,0.005013
LLaMA,10,Able2,4,0,0,0.79,0.848,0.79,0.778,0.0034,0.004721
