model,k-shot,target,scope_id,kw_context,vl_propform,acc_mean,prec_mean,rec_mean,f1_mean,var_by_acc,var_by_f1
LLaMA,2,A0,2,0,1,0.76,0.822,0.76,0.744,0.0034,0.005724
LLaMA,2,A0,1,0,1,0.71,0.786,0.71,0.686,0.0034,0.00686
LLaMA,2,A0,2,0,0,0.67,0.731,0.67,0.637,0.0066,0.014819
LLaMA,2,A0,2,1,0,0.66,0.769,0.66,0.613,0.0054,0.013362
LLaMA,2,A0,2,1,1,0.65,0.787,0.65,0.589,0.009,0.019652
LLaMA,2,A0,1,0,0,0.6,0.558,0.6,0.553,0.007,0.01906
LLaMA,2,A0,1,1,1,0.6,0.645,0.6,0.527,0.005,0.015326
LLaMA,2,A0,1,1,0,0.56,0.55,0.56,0.51,0.0064,0.011555
LLaMA,2,A1,4,0,1,0.66,0.778,0.66,0.605,0.0094,0.021123
LLaMA,2,A1,2,0,0,0.64,0.756,0.64,0.589,0.0044,0.00974
LLaMA,2,A1,4,0,0,0.63,0.721,0.63,0.582,0.0046,0.009154
LLaMA,2,A1,1,1,1,0.62,0.582,0.62,0.527,0.0166,0.039869
LLaMA,2,A1,4,1,0,0.62,0.656,0.62,0.548,0.0076,0.021242
LLaMA,2,A1,1,1,0,0.61,0.725,0.61,0.547,0.0064,0.014414
LLaMA,2,A1,1,0,1,0.59,0.642,0.59,0.535,0.0084,0.016687
LLaMA,2,A1,2,1,0,0.59,0.532,0.59,0.507,0.0054,0.020342
LLaMA,2,A1,1,0,0,0.58,0.563,0.58,0.526,0.0026,0.01003
LLaMA,2,A1,2,0,1,0.57,0.493,0.57,0.487,0.0036,0.016859
LLaMA,2,A1,3,1,0,0.57,0.59,0.57,0.51,0.0056,0.014822
LLaMA,2,A1,2,1,1,0.55,0.508,0.55,0.449,0.002,0.011479
LLaMA,2,A1,3,0,0,0.55,0.682,0.55,0.481,0.003,0.002658
LLaMA,2,A1,3,0,1,0.53,0.496,0.53,0.453,0.0006,0.005359
LLaMA,2,A1,4,1,1,0.52,0.373,0.52,0.414,0.0006,0.00979
LLaMA,2,A1,3,1,1,0.51,0.429,0.51,0.418,0.0024,0.008593
LLaMA,2,A2,2,0,0,0.64,0.786,0.64,0.573,0.0094,0.020038
LLaMA,2,A2,4,0,0,0.64,0.756,0.64,0.591,0.0034,0.00671
LLaMA,2,A2,2,0,1,0.61,0.714,0.61,0.549,0.0054,0.014111
LLaMA,2,A2,1,0,0,0.58,0.646,0.58,0.536,0.0016,0.004612
LLaMA,2,A2,4,1,1,0.58,0.439,0.58,0.477,0.0096,0.030923
LLaMA,2,A2,3,0,0,0.57,0.629,0.57,0.509,0.0056,0.009783
LLaMA,2,A2,2,1,0,0.56,0.66,0.56,0.496,0.0004,0.003374
LLaMA,2,A2,4,0,1,0.56,0.685,0.56,0.492,0.0014,0.00317
LLaMA,2,A2,1,0,1,0.54,0.553,0.54,0.463,0.0014,0.005801
LLaMA,2,A2,4,1,0,0.54,0.561,0.54,0.466,0.0074,0.011765
LLaMA,2,A2,2,1,1,0.53,0.394,0.53,0.428,0.0046,0.0172
LLaMA,2,A2,1,1,0,0.49,0.404,0.49,0.39,0.0014,0.003952
LLaMA,2,A2,1,1,1,0.49,0.337,0.49,0.382,0.0004,0.004169
LLaMA,2,A2,3,0,1,0.47,0.367,0.47,0.377,0.0016,0.001287
LLaMA,2,A2,3,1,1,0.47,0.308,0.47,0.356,0.0016,0.001678
LLaMA,2,A2,3,1,0,0.44,0.291,0.44,0.341,0.0044,0.010215
LLaMA,2,A_dériv_ajout_de_sens,2,1,0,0.55,0.42,0.55,0.447,0.008,0.023974
LLaMA,2,A_dériv_ajout_de_sens,2,0,0,0.5,0.353,0.5,0.394,0.001,0.00598
LLaMA,2,A_dériv_ajout_de_sens,2,1,1,0.5,0.359,0.5,0.385,0.001,0.004238
LLaMA,2,A_dériv_ajout_de_sens,2,0,1,0.49,0.347,0.49,0.39,0.0004,0.006346
LLaMA,2,A_dériv_ajout_de_sens,1,1,0,0.44,0.288,0.44,0.33,0.0054,0.000635
LLaMA,2,A_dériv_ajout_de_sens,1,1,1,0.42,0.241,0.42,0.301,0.0106,0.001535
LLaMA,2,A_dériv_ajout_de_sens,1,0,0,0.39,0.25,0.39,0.293,0.0124,0.003062
LLaMA,2,A_dériv_ajout_de_sens,1,0,1,0.38,0.221,0.38,0.275,0.0166,0.004315
LLaMA,2,A_dériv_qualificative,3,0,0,0.66,0.683,0.66,0.596,0.0134,0.032595
LLaMA,2,A_dériv_qualificative,3,0,1,0.62,0.533,0.62,0.545,0.0136,0.035593
LLaMA,2,A_dériv_qualificative,1,0,0,0.59,0.598,0.59,0.52,0.0044,0.013778
LLaMA,2,A_dériv_qualificative,3,1,0,0.57,0.514,0.57,0.484,0.0056,0.018299
LLaMA,2,A_dériv_qualificative,3,1,1,0.56,0.506,0.56,0.468,0.0034,0.016788
LLaMA,2,A_dériv_qualificative,1,1,0,0.55,0.499,0.55,0.453,0.003,0.013825
LLaMA,2,A_dériv_qualificative,1,1,1,0.55,0.5,0.55,0.448,0.006,0.016763
LLaMA,2,A_dériv_qualificative,2,1,1,0.55,0.411,0.55,0.442,0.006,0.020356
LLaMA,2,A_dériv_qualificative,2,0,0,0.54,0.543,0.54,0.456,0.0034,0.009549
LLaMA,2,A_dériv_qualificative,2,1,0,0.53,0.476,0.53,0.436,0.0016,0.009253
LLaMA,2,A_dériv_qualificative,1,0,1,0.52,0.431,0.52,0.426,0.0016,0.008235
LLaMA,2,A_dériv_qualificative,2,0,1,0.5,0.443,0.5,0.391,0.001,0.002432
LLaMA,2,A_i,3,0,0,0.58,0.524,0.58,0.495,0.0056,0.02007
LLaMA,2,A_i,3,0,1,0.56,0.508,0.56,0.469,0.0024,0.012859
LLaMA,2,A_i,3,1,1,0.53,0.39,0.53,0.415,0.0036,0.013215
LLaMA,2,A_i,2,0,0,0.51,0.453,0.51,0.411,0.0004,0.004432
